subjects,act_with_objects,act_with_places,objects,places
A Ghost riding a scooter,steals a chocolate fountain,dances in a railway station,a cricket bat from the future,a metro station on Mars
P.M. Modi disguised as a teacher,throws a pizza factory,cries inside a washing machine,a robot with rocket boosters,the moon at midnight
A Ghost disguised as a teacher,launches a cricket bat made of gold,sleeps in a railway station,a magic carpet with googly eyes,the moon in zero gravity
An Alien with sunglasses,invents a cricket bat made of gold,argues in a railway station,a flying scooter that glows in dark,a local train in zero gravity
Elon Musk from Noida,orders a robot army,teaches in a railway station,a flying scooter from the future,a haunted mansion while eating pizza
A Bollywood Actor with sunglasses,hugs a flying rickshaw,sings inside a washing machine,a robot covered in gold,a local train inside VR
An Alien disguised as a teacher,throws a robot army,meditates in a haunted house,a flying scooter that dances,the moon underwater
A Talking Parrot disguised as a teacher,steals a chocolate fountain,sings on a rooftop,a magic carpet that explodes,a cricket stadium while raining
A Bollywood Actor with sunglasses,invents a spaceship made of bamboo,sleeps in a swimming pool,a spaceship that sings,India Gate while eating pizza
A Talking Parrot who can rap,invents a time machine,teaches on a rooftop,a rickshaw that glows in dark,the Parliament while eating pizza
P.M. Modi from a parallel universe,throws a spaceship made of bamboo,teaches inside a metro,a rickshaw that explodes,a local train inside VR
A Robot disguised as a teacher,breaks a chocolate fountain,meditates on the moon,a flying scooter that sings,India Gate on Diwali
A Ghost from Noida,hugs a robot army,declares war on the moon,a samosa that can talk,India Gate while raining
P.M. Modi that only eats pizza,eats 100 samosas,argues at Parliament,a time machine that sings,India Gate in zero gravity
A Ghost with a funny mustache,launches a golden iPhone,argues at Parliament,a golden cow that dances,a jungle at midnight
A Talking Parrot who can rap,cancels a golden iPhone,dances on the moon,a spaceship that dances,a haunted mansion while raining
A Robot riding a scooter,breaks 100 samosas,cries at Parliament,a golden cow that sings,a shopping mall underwater
A Robot from Noida,launches a goat statue,sleeps at India Gate,a flying scooter with rocket boosters,India Gate underwater
A Bollywood Actor that only eats pizza,breaks a cricket bat made of gold,runs in a haunted house,a flying scooter that explodes,a metro station during IPL
A Ninja who can rap,cancels a time machine,sleeps in a railway station,a flying scooter that glows in dark,a metro station inside VR
A Bollywood Actor who can rap,orders 100 samosas,teaches at India Gate,a robot that explodes,a shopping mall with ghosts
An Alien disguised as a teacher,launches a pizza factory,cries at Parliament,a time machine that glows in dark,a local train underwater
A Goat with a funny mustache,invents a flying rickshaw,sleeps on the moon,a samosa made of chocolate,a cricket stadium underwater
An Alien on Mars,invents a time machine,dances inside a metro,a samosa that dances,a metro station with ghosts
A Robot with a funny mustache,invents a cricket bat made of gold,meditates in a swimming pool,a magic carpet that can talk,the moon inside VR
An Alien riding a scooter,eats a cricket bat made of gold,cries in a swimming pool,a pizza slice made of chocolate,a local train while raining
A Robot on Mars,steals 100 samosas,declares war on a rooftop,a pizza slice with rocket boosters,a local train in zero gravity
P.M. Modi from Noida,breaks a chocolate fountain,declares war during IPL matches,a spaceship that glows in dark,the moon while raining
A Baby that only eats pizza,throws a flying rickshaw,cries inside a metro,a magic carpet covered in gold,the moon underwater
A Robot with a funny mustache,breaks a chocolate fountain,dances in a railway station,a cricket bat with rocket boosters,a haunted mansion with ghosts
A Ninja with a funny mustache,eats a robot army,dances on the moon,a robot with googly eyes,a jungle on Mars
A Baby from a parallel universe,paints a flying rickshaw,cries on the moon,a rickshaw with googly eyes,a jungle while eating pizza
A Talking Parrot with sunglasses,orders a robot army,meditates in a swimming pool,a pizza slice covered in gold,a haunted mansion in zero gravity
A Ninja with sunglasses,orders a chocolate fountain,sings on a rooftop,a time machine covered in gold,India Gate while eating pizza
An Alien on Mars,orders a spaceship made of bamboo,meditates inside a metro,a golden cow that glows in dark,a swimming pool underwater
A Ninja with a funny mustache,hugs a flying rickshaw,cries at India Gate,a cricket bat from the future,a jungle at midnight
A Baby riding a scooter,paints a pizza factory,meditates inside a washing machine,a samosa with rocket boosters,a shopping mall on Mars
A Bollywood Actor from Noida,orders a chocolate fountain,parties inside a metro,a spaceship that dances,a swimming pool underwater
A Bollywood Actor with a funny mustache,launches a spaceship made of bamboo,declares war in a swimming pool,a flying scooter that sings,a haunted mansion during IPL
Elon Musk from a parallel universe,eats a chocolate fountain,teaches on the moon,a flying scooter with googly eyes,a swimming pool while eating pizza
A Robot from a parallel universe,steals a goat statue,runs inside a metro,a robot that explodes,the Parliament on Diwali
A Talking Parrot that only eats pizza,eats a time machine,teaches inside a washing machine,a samosa with googly eyes,a haunted mansion with ghosts
A Goat with a funny mustache,throws a cricket bat made of gold,dances inside a washing machine,a samosa with rocket boosters,a shopping mall while eating pizza
A Bollywood Actor that only eats pizza,hugs a robot army,sleeps inside a metro,a rickshaw from the future,a metro station underwater
A Ninja living in the metro,steals a spaceship made of bamboo,cries during IPL matches,a robot with googly eyes,the Parliament in zero gravity
A Ninja that only eats pizza,orders a spaceship made of bamboo,cries inside a metro,a magic carpet that can talk,a shopping mall on Diwali
A Baby living in the metro,invents a time machine,cries on a rooftop,a samosa that sings,a cricket stadium with ghosts
An Alien riding a scooter,hugs a chocolate fountain,dances in a haunted house,a spaceship made of chocolate,India Gate inside VR
A Ninja on Mars,invents a robot army,argues at Parliament,a time machine with rocket boosters,a cricket stadium while raining
A Ghost living in the metro,launches a cricket bat made of gold,declares war on a rooftop,a time machine with googly eyes,a cricket stadium while raining
A Ghost from Noida,throws 100 samosas,declares war in a railway station,a robot made of chocolate,a jungle with ghosts
Elon Musk from a parallel universe,steals a time machine,declares war inside a metro,a samosa that can talk,a metro station underwater
A Bollywood Actor on Mars,orders a flying rickshaw,dances at Parliament,a flying scooter made of chocolate,a local train during IPL
Elon Musk disguised as a teacher,orders a golden iPhone,argues in a railway station,a cricket bat from the future,a jungle in zero gravity
A Talking Parrot who can rap,cancels 100 samosas,argues in a swimming pool,a time machine that can talk,the moon with ghosts
A Baby riding a scooter,launches 100 samosas,dances inside a washing machine,a rickshaw with rocket boosters,India Gate in zero gravity
P.M. Modi with sunglasses,eats 100 samosas,runs on a rooftop,a cricket bat that sings,a local train with ghosts
A Ninja disguised as a teacher,throws a spaceship made of bamboo,runs in a haunted house,a rickshaw that dances,India Gate at midnight
A Ghost living in the metro,hugs a pizza factory,sleeps in a haunted house,a samosa made of chocolate,the moon in zero gravity
A Talking Parrot that only eats pizza,breaks 100 samosas,cries during IPL matches,a flying scooter from the future,India Gate inside VR
A Talking Parrot from a parallel universe,eats a cricket bat made of gold,declares war inside a metro,a cricket bat with rocket boosters,a metro station in zero gravity
A Ghost on Mars,launches a pizza factory,meditates in a swimming pool,a samosa that explodes,a haunted mansion with ghosts
Elon Musk from Noida,cancels a goat statue,sings during IPL matches,a rickshaw that dances,India Gate inside VR
A Ghost with sunglasses,cancels a golden iPhone,declares war in a swimming pool,a spaceship with rocket boosters,a metro station on Diwali
A Bollywood Actor on Mars,steals a goat statue,teaches inside a metro,a spaceship made of chocolate,a shopping mall inside VR
A Ninja with sunglasses,cancels a time machine,sleeps at Parliament,a time machine that sings,a haunted mansion in zero gravity
A Ghost that only eats pizza,eats a time machine,parties in a swimming pool,a spaceship made of chocolate,the Parliament at midnight
A Ghost from a parallel universe,invents a pizza factory,argues in a railway station,a rickshaw made of chocolate,a local train inside VR
A Bollywood Actor riding a scooter,orders a chocolate fountain,argues on a rooftop,a robot from the future,India Gate inside VR
P.M. Modi from a parallel universe,throws a robot army,declares war on the moon,a time machine that can talk,a shopping mall inside VR
Elon Musk from Noida,invents a pizza factory,parties at India Gate,a spaceship from the future,a swimming pool on Diwali
A Baby disguised as a teacher,steals a flying rickshaw,teaches inside a metro,a robot with rocket boosters,the Parliament with ghosts
Elon Musk on Mars,orders a flying rickshaw,meditates during IPL matches,a flying scooter with rocket boosters,a cricket stadium on Diwali
A Ninja from a parallel universe,throws a robot army,argues in a railway station,a time machine made of chocolate,India Gate inside VR
A Baby with sunglasses,throws a golden iPhone,argues inside a metro,a samosa from the future,a shopping mall on Mars
A Bollywood Actor from a parallel universe,breaks 100 samosas,cries in a swimming pool,a cricket bat made of chocolate,the moon inside VR
A Robot on Mars,orders a chocolate fountain,parties on the moon,a golden cow that sings,a local train inside VR
An Alien from Noida,paints 100 samosas,declares war at India Gate,a time machine that glows in dark,a swimming pool while eating pizza
Elon Musk with sunglasses,throws a flying rickshaw,meditates in a swimming pool,a flying scooter with rocket boosters,a jungle with ghosts
P.M. Modi that only eats pizza,launches a golden iPhone,parties during IPL matches,a golden cow with googly eyes,the Parliament during IPL
A Talking Parrot who can rap,cancels a pizza factory,argues on the moon,a samosa with rocket boosters,India Gate on Mars
A Goat from a parallel universe,invents a goat statue,argues in a railway station,a golden cow with rocket boosters,a jungle on Diwali
A Ninja living in the metro,paints a spaceship made of bamboo,dances at Parliament,a rickshaw with googly eyes,a haunted mansion in zero gravity
A Bollywood Actor who can rap,throws a chocolate fountain,declares war inside a washing machine,a golden cow covered in gold,a shopping mall while raining
A Talking Parrot with sunglasses,throws a time machine,sleeps in a railway station,a robot from the future,a shopping mall while eating pizza
A Talking Parrot who can rap,eats a pizza factory,parties inside a metro,a pizza slice from the future,a cricket stadium with ghosts
Elon Musk who can rap,eats a robot army,argues at Parliament,a spaceship that sings,India Gate underwater
A Ninja from Noida,invents a pizza factory,meditates on a rooftop,a cricket bat that can talk,a local train on Mars
A Goat with sunglasses,orders a robot army,meditates at Parliament,a spaceship covered in gold,India Gate underwater
A Talking Parrot who can rap,hugs a flying rickshaw,dances in a swimming pool,a golden cow that dances,the moon inside VR
A Baby from Noida,hugs a pizza factory,runs at India Gate,a rickshaw covered in gold,a local train inside VR
A Robot from a parallel universe,breaks a robot army,sings during IPL matches,a time machine with rocket boosters,a local train while eating pizza
A Ninja disguised as a teacher,steals a robot army,parties in a railway station,a magic carpet made of chocolate,a metro station at midnight
An Alien riding a scooter,hugs a chocolate fountain,cries in a haunted house,a spaceship covered in gold,the moon in zero gravity
A Ninja riding a scooter,invents a chocolate fountain,sleeps in a railway station,a cricket bat that glows in dark,a shopping mall during IPL
A Goat with sunglasses,hugs a chocolate fountain,cries in a swimming pool,a samosa that dances,India Gate while raining
A Goat with a funny mustache,orders 100 samosas,runs at Parliament,a flying scooter that can talk,a jungle with ghosts
A Talking Parrot riding a scooter,steals a time machine,teaches at India Gate,a robot that dances,the moon underwater
A Bollywood Actor with sunglasses,orders a goat statue,cries on a rooftop,a golden cow with googly eyes,India Gate during IPL
A Ghost living in the metro,hugs a goat statue,runs in a swimming pool,a spaceship with rocket boosters,a local train inside VR
A Bollywood Actor who can rap,throws a golden iPhone,parties during IPL matches,a flying scooter made of chocolate,a jungle at midnight
A Ninja with sunglasses,orders a flying rickshaw,sleeps in a haunted house,a cricket bat with googly eyes,a swimming pool on Mars
A Ghost with sunglasses,eats a chocolate fountain,sings during IPL matches,a flying scooter that dances,the moon at midnight
A Bollywood Actor that only eats pizza,orders a golden iPhone,argues on the moon,a cricket bat with googly eyes,a cricket stadium while raining
A Robot with sunglasses,steals 100 samosas,parties on the moon,a magic carpet covered in gold,a swimming pool while raining
An Alien from a parallel universe,launches a chocolate fountain,declares war in a swimming pool,a samosa with rocket boosters,a swimming pool inside VR
Elon Musk riding a scooter,hugs a robot army,parties at Parliament,a golden cow that glows in dark,the moon inside VR
A Goat that only eats pizza,hugs a flying rickshaw,argues inside a washing machine,a samosa with googly eyes,a jungle underwater
A Ghost who can rap,eats a robot army,dances at Parliament,a rickshaw from the future,a jungle in zero gravity
A Robot that only eats pizza,hugs a cricket bat made of gold,cries at Parliament,a magic carpet that glows in dark,the Parliament during IPL
An Alien from Noida,cancels a golden iPhone,declares war at Parliament,a rickshaw that glows in dark,India Gate on Mars
P.M. Modi that only eats pizza,throws a time machine,argues on the moon,a spaceship that sings,the Parliament inside VR
A Talking Parrot who can rap,launches a time machine,declares war at India Gate,a cricket bat that glows in dark,the Parliament in zero gravity
Elon Musk with sunglasses,hugs a chocolate fountain,teaches at Parliament,a rickshaw with rocket boosters,a shopping mall inside VR
A Ninja riding a scooter,launches a goat statue,declares war in a swimming pool,a magic carpet made of chocolate,a haunted mansion while raining
An Alien from a parallel universe,steals a goat statue,sings in a railway station,a pizza slice that glows in dark,a haunted mansion while eating pizza
A Talking Parrot disguised as a teacher,eats a spaceship made of bamboo,teaches during IPL matches,a robot with rocket boosters,the Parliament while eating pizza
Elon Musk on Mars,hugs a chocolate fountain,argues inside a washing machine,a magic carpet that sings,a jungle in zero gravity
A Robot with sunglasses,eats a flying rickshaw,meditates in a swimming pool,a spaceship that can talk,the Parliament while eating pizza
P.M. Modi riding a scooter,launches a robot army,cries during IPL matches,a flying scooter with googly eyes,a haunted mansion on Diwali
A Robot from Noida,paints a robot army,teaches during IPL matches,a golden cow covered in gold,a swimming pool with ghosts
A Baby disguised as a teacher,orders a golden iPhone,sleeps inside a washing machine,a pizza slice that can talk,India Gate on Mars
P.M. Modi with sunglasses,cancels a pizza factory,meditates in a haunted house,a golden cow from the future,a swimming pool while raining
An Alien disguised as a teacher,breaks a flying rickshaw,cries in a haunted house,a samosa that glows in dark,a metro station at midnight
A Robot disguised as a teacher,hugs 100 samosas,meditates in a railway station,a samosa made of chocolate,India Gate on Diwali
A Ghost from a parallel universe,throws a pizza factory,declares war at India Gate,a cricket bat that dances,a jungle underwater
P.M. Modi disguised as a teacher,launches a robot army,argues at India Gate,a samosa with googly eyes,the Parliament inside VR
A Bollywood Actor that only eats pizza,steals a golden iPhone,parties inside a metro,a time machine that dances,a cricket stadium underwater
A Bollywood Actor living in the metro,throws a cricket bat made of gold,meditates inside a metro,a magic carpet covered in gold,India Gate while eating pizza
A Ghost from Noida,paints a spaceship made of bamboo,dances in a haunted house,a cricket bat from the future,a local train underwater
A Robot that only eats pizza,steals a spaceship made of bamboo,sings in a haunted house,a magic carpet with googly eyes,India Gate while raining
A Ghost from a parallel universe,launches a time machine,dances on the moon,a cricket bat from the future,a cricket stadium while raining
A Ghost disguised as a teacher,launches 100 samosas,meditates at India Gate,a robot that glows in dark,a local train during IPL
An Alien living in the metro,cancels a cricket bat made of gold,sleeps on the moon,a pizza slice from the future,India Gate during IPL
A Ghost disguised as a teacher,eats a goat statue,meditates inside a metro,a rickshaw covered in gold,a swimming pool on Diwali
P.M. Modi with a funny mustache,eats a pizza factory,sleeps during IPL matches,a pizza slice with rocket boosters,the moon while eating pizza
P.M. Modi with a funny mustache,cancels a golden iPhone,meditates inside a metro,a spaceship with googly eyes,a swimming pool on Mars
A Bollywood Actor that only eats pizza,hugs a pizza factory,sings in a railway station,a golden cow made of chocolate,a jungle with ghosts
A Talking Parrot with a funny mustache,cancels a cricket bat made of gold,sings on the moon,a time machine that can talk,the moon while eating pizza
A Robot who can rap,launches a pizza factory,dances inside a washing machine,a samosa with googly eyes,the Parliament on Mars
P.M. Modi that only eats pizza,launches a time machine,cries in a haunted house,a samosa made of chocolate,the moon during IPL
A Talking Parrot disguised as a teacher,paints a robot army,dances inside a metro,a pizza slice that sings,a local train in zero gravity
An Alien disguised as a teacher,breaks a spaceship made of bamboo,sleeps in a swimming pool,a magic carpet that sings,the moon inside VR
A Robot riding a scooter,paints 100 samosas,parties inside a washing machine,a rickshaw with googly eyes,the moon while eating pizza
A Bollywood Actor living in the metro,steals a pizza factory,parties on the moon,a spaceship from the future,a jungle while raining
A Ghost riding a scooter,cancels 100 samosas,argues inside a metro,a time machine that can talk,a local train on Diwali
A Ghost who can rap,eats a goat statue,sings in a railway station,a spaceship that dances,a local train with ghosts
A Robot with a funny mustache,orders a goat statue,sings at India Gate,a flying scooter that dances,a swimming pool with ghosts
A Ghost who can rap,cancels a spaceship made of bamboo,cries inside a metro,a samosa covered in gold,India Gate while raining
A Goat riding a scooter,invents a time machine,meditates in a swimming pool,a spaceship that explodes,a metro station with ghosts
A Goat that only eats pizza,cancels a spaceship made of bamboo,teaches inside a washing machine,a pizza slice covered in gold,a haunted mansion on Diwali
A Bollywood Actor disguised as a teacher,breaks a cricket bat made of gold,declares war inside a metro,a magic carpet that explodes,a haunted mansion while raining
A Baby who can rap,steals a chocolate fountain,teaches during IPL matches,a cricket bat with googly eyes,a metro station inside VR
P.M. Modi living in the metro,launches a chocolate fountain,meditates during IPL matches,a time machine from the future,a jungle at midnight
A Goat with a funny mustache,eats a time machine,cries in a haunted house,a robot from the future,a local train while raining
A Ghost from Noida,invents a cricket bat made of gold,sleeps during IPL matches,a flying scooter made of chocolate,a jungle on Mars
Elon Musk from a parallel universe,throws a goat statue,parties in a haunted house,a rickshaw covered in gold,the Parliament while eating pizza
A Bollywood Actor living in the metro,orders a goat statue,teaches on a rooftop,a magic carpet that sings,a local train with ghosts
A Baby from a parallel universe,invents a cricket bat made of gold,meditates during IPL matches,a golden cow made of chocolate,a local train at midnight
A Bollywood Actor who can rap,invents a goat statue,declares war on a rooftop,a cricket bat with rocket boosters,a jungle on Mars
P.M. Modi disguised as a teacher,steals a goat statue,argues in a swimming pool,a magic carpet that explodes,a swimming pool in zero gravity
A Talking Parrot living in the metro,eats a goat statue,runs at Parliament,a robot from the future,a jungle at midnight
A Ninja disguised as a teacher,breaks a spaceship made of bamboo,sings in a haunted house,a golden cow with rocket boosters,a haunted mansion on Mars
A Ghost from Noida,orders a robot army,argues in a railway station,a flying scooter that explodes,a metro station while raining
A Baby living in the metro,paints a spaceship made of bamboo,dances inside a metro,a rickshaw from the future,a cricket stadium underwater
